ess_row_id,idno,cntry,country_name,ess_unique_id,agea,gndr,edulvla,education_3cat,hinctnta,rlgblg,urbanization,blgetmg,dweight,pspwght,pweight,anweight,left_right_identification,gender_inequality,anti_lgbt,euroscepticism,anti_immigration,anti_egalitarianism,benefits_harm_economy,benefits_harm_society,welfare_chauvinism,anti_economic_interventionism,harsh_sentences,anti_militant_democracy,no_science_environment_solution,anti_government_spending,regressive_taxes,regressive_benefits,age_prejudice,authoritarianism,anti_libertarianism,n_belief_missing,n_belief_available
1,10202,BE,Belgium,BE_10202,36.0,1.0,5.0,3.0,4.0,2.0,5.0,2.0,1.0074,0.8232233,0.50377333,0.41471794,0.7,0.5,0.75,0.8,1.0,0.25,0.875,0.25,0.75,0.31666666666666665,0.25,0.75,0.25,0.5,0.5,0.0,0.6,0.48,0.4,0,19
2,10203,BE,Belgium,BE_10203,26.0,2.0,5.0,3.0,7.0,2.0,5.0,2.0,1.0074,0.7986095,0.50377333,0.40231818,0.6,0.75,0.25,0.4,0.4444444444444444,0.25,0.375,0.25,0.5,0.3,0.75,0.25,0.5,0.5,0.5,0.0,0.3,0.6,0.44000000000000006,0,19
3,10207,BE,Belgium,BE_10207,69.0,1.0,5.0,3.0,10.0,1.0,5.0,2.0,1.0074,0.7780196,0.50377333,0.39194554,0.8,0.75,0.0,0.2,0.3333333333333333,0.75,0.75,0.625,0.0,0.5499999999999999,0.5,0.75,0.75,0.5,0.0,0.0,0.6,0.5599999999999999,0.2,0,19
4,10208,BE,Belgium,BE_10208,77.0,2.0,5.0,3.0,7.0,1.0,5.0,2.0,1.0074,0.7777354,0.50377333,0.39180237,0.6,0.75,0.5,0.4,0.5555555555555555,0.25,0.625,0.25,0.5,0.5,0.5,0.25,0.25,0.5,0.0,0.0,0.2,0.6799999999999999,0.44000000000000006,0,19
5,10302,BE,Belgium,BE_10302,27.0,1.0,3.0,2.0,7.0,2.0,5.0,2.0,1.0074,0.96096045,0.50377333,0.48410624,0.5,0.75,0.0,0.0,0.6666666666666666,0.625,0.625,0.25,0.5,0.44999999999999996,0.25,0.75,0.25,0.5,0.5,0.5,0.0,0.6399999999999999,0.36,0,19
6,10305,BE,Belgium,BE_10305,32.0,2.0,3.0,2.0,6.0,1.0,5.0,1.0,1.0074,0.9606094,0.50377333,0.4839294,0.5,0.5,0.75,0.0,0.2222222222222222,0.75,0.625,0.25,0.75,0.3,0.5,0.75,0.5,0.5,0.5,0.5,0.0,0.72,0.08,0,19
7,10306,BE,Belgium,BE_10306,19.0,2.0,1.0,1.0,8.0,1.0,5.0,1.0,1.0074,1.1612698,0.50377333,0.5850167,0.2,0.625,0.5,0.5,0.1111111111111111,0.5,0.5,0.5,0.25,0.26666666666666666,0.0,1.0,0.75,0.6,0.0,1.0,0.0,0.68,0.6400000000000001,0,19
8,10307,BE,Belgium,BE_10307,28.0,2.0,5.0,3.0,10.0,1.0,5.0,2.0,1.0074,0.7986095,0.50377333,0.40231818,0.3,0.75,0.25,0.5,0.3333333333333333,0.25,0.375,0.25,0.5,0.25,0.75,0.25,0.25,0.4,0.5,0.0,0.1,0.68,0.2,0,19
9,10309,BE,Belgium,BE_10309,49.0,1.0,5.0,3.0,4.0,2.0,5.0,2.0,1.0074,0.8232233,0.50377333,0.41471794,0.4,0.75,0.25,0.2,0.3333333333333333,0.125,0.625,0.375,0.5,0.3,0.5,0.0,0.75,0.5,0.0,0.25,0.1,0.56,0.36,0,19
10,10401,BE,Belgium,BE_10401,57.0,1.0,5.0,3.0,9.0,2.0,4.0,2.0,1.0074,0.7780196,0.50377333,0.39194554,0.4,0.875,0.0,0.2,0.1111111111111111,0.375,0.375,0.25,0.25,0.19999999999999998,0.5,0.25,0.5,0.3,0.5,1.0,0.2,0.44000000000000006,0.36,0,19
11,10402,BE,Belgium,BE_10402,71.0,2.0,5.0,3.0,7.0,1.0,5.0,2.0,1.0074,0.7777354,0.50377333,0.39180237,0.5,0.5,0.25,0.5,0.4444444444444444,0.625,0.75,0.5,0.5,0.3166666666666667,0.25,0.25,0.5,0.3,0.5,0.0,0.6,0.4800000000000001,0.48,0,19
