ess_row_id,idno,cntry,country_name,ess_unique_id,agea,gndr,eisced,education_3cat,hinctnta,rlgblg,urbanization,blgetmg,vote_simple,dweight,pspwght,pweight,anweight,left_right_identification,gender_inequality,anti_lgbt,euroscepticism,anti_immigration,anti_egalitarianism,benefits_harm_economy,benefits_harm_society,welfare_chauvinism,anti_economic_interventionism,anti_social_benefits_low_income,anti_social_benefits_parents,educational_spending,anti_basic_income,anti_climate_change_taxes,anti_climate_change_renewables,anti_climate_ban_appliances,climate_skepticism,authoritarianism,anti_libertarianism,n_belief_missing,n_belief_available
1,1,AT,Austria,AT_1,34.0,2.0,7.0,3.0,,2.0,5.0,2.0,3.0,0.61167705,1.1784955,0.3703929,0.43650636,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,,0.0,0.0,0.0,0.25,0.25,0.2,0.27999999999999997,1,19
2,2,AT,Austria,AT_2,52.0,1.0,4.0,2.0,5.0,2.0,5.0,2.0,3.0,1.2233541,0.8994715,0.3703929,0.33315787,0.1,0.25,0.0,0.0,0.0,0.16666666666666666,0.75,0.25,0.25,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.25,0.25,0.25,0.24,0.44000000000000006,0,20
3,4,AT,Austria,AT_4,68.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,0.38905773,0.31575334,0.3703929,0.11695279,0.5,0.0,0.16666666666666666,1.0,0.5555555555555555,0.6666666666666666,0.25,0.625,0.5,0.13333333333333333,0.6666666666666666,1.0,0.3333333333333333,1.0,0.75,0.25,0.25,0.25,0.72,0.56,0,20
4,6,AT,Austria,AT_6,54.0,1.0,3.0,2.0,4.0,,5.0,2.0,,0.642594,0.4724674,0.3703929,0.17499857,0.0,0.5,0.4166666666666667,0.3,,0.5,0.75,0.25,0.75,0.4666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,,0.5,0.5,0.5,0.5,0.6799999999999999,0.27999999999999997,2,18
5,10,AT,Austria,AT_10,20.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,3.4324021,2.2467055,0.3703929,0.83216375,0.5,0.0,0.0,0.2,0.2222222222222222,0.16666666666666666,0.625,0.0,0.25,0.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.5,0.0,0.75,0.25,0.48,0.4,0,20
6,11,AT,Austria,AT_11,65.0,2.0,4.0,2.0,10.0,1.0,5.0,2.0,1.0,1.1805793,1.011379,0.3703929,0.3746076,0.5,0.5,,0.1,0.0,0.3333333333333333,0.75,0.375,0.25,0.10000000000000002,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.75,0.0,0.0,0.5,0.9199999999999999,0.56,1,19
7,12,AT,Austria,AT_12,52.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.2734222,1.8380297,0.3703929,0.68079317,0.4,0.0,,0.7,0.4444444444444444,0.16666666666666666,0.125,0.25,0.75,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,,1.0,0.25,0.5,0.25,0.56,0.48,2,18
8,13,AT,Austria,AT_13,44.0,2.0,5.0,2.0,8.0,1.0,2.0,2.0,1.0,2.1640499,1.2028018,0.3703929,0.44550925,0.5,0.25,0.4166666666666667,1.0,0.6666666666666666,0.16666666666666666,0.375,0.375,0.75,0.06666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.0,0.0,0.25,0.8,0.39999999999999997,0,20
9,14,AT,Austria,AT_14,22.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,,0.4131185,0.32083097,0.3703929,0.11883351,0.5,0.0,0.25,0.1,0.1111111111111111,0.3333333333333333,0.625,0.5,0.25,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.25,0.0,0.0,0.75,0.5599999999999999,0.44000000000000006,0,20
10,15,AT,Austria,AT_15,41.0,2.0,3.0,2.0,4.0,1.0,5.0,2.0,1.0,1.7849587,0.99757445,0.3703929,0.36949447,0.5,0.0,,0.9,0.3333333333333333,0.5,0.875,0.125,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.25,0.5,0.25,0.75,0.72,0.36,1,19
11,16,AT,Austria,AT_16,57.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0.41295302,0.5500596,0.3703929,0.20373817,0.5,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,,0.25,0.5,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.25,1.0,0.25,0.68,0.44000000000000006,1,19
12,17,AT,Austria,AT_17,61.0,1.0,3.0,2.0,3.0,2.0,5.0,2.0,1.0,1.0553485,0.6911919,0.3703929,0.25601256,0.8,0.75,0.25,0.8,1.0,0.8333333333333334,1.0,0.375,0.75,0.26666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.25,0.25,0.25,0.0,0.64,0.32,0,20
14,19,AT,Austria,AT_19,31.0,2.0,3.0,2.0,,1.0,2.0,2.0,1.0,0.8666936,0.6730806,0.3703929,0.24930428,0.5,0.25,0.16666666666666666,0.7,0.4444444444444444,0.3333333333333333,0.25,0.375,0.75,0.06666666666666667,0.3333333333333333,0.3333333333333333,0.6666666666666666,,0.5,0.5,0.75,0.0,0.6400000000000001,0.36,1,19
15,21,AT,Austria,AT_21,58.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,0.767498,1.2803395,0.3703929,0.47422865,,0.75,0.9166666666666666,0.9,0.6666666666666666,0.25,0.5,0.25,0.75,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.0,,0.5,0.25,0.0,0.0,0.56,0.76,2,18
16,22,AT,Austria,AT_22,28.0,1.0,3.0,2.0,5.0,2.0,3.0,2.0,1.0,0.62280774,0.6477802,0.3703929,0.23993318,0.6,0.0,0.0,0.5,0.8888888888888888,0.6666666666666666,0.375,0.25,1.0,0.0,1.0,1.0,0.0,1.0,0.75,0.25,0.75,0.25,0.9199999999999999,0.36000000000000004,0,20
