country;party_id;vote_populist;vote_farright;vote_farleft;vote_other;vote_dontknow;vote_none;vote_loyalty;vote_voice
AT;1;0;0;0;0;0;0;1;0
AT;2;0;0;0;0;0;0;1;0
AT;3;1;1;0;0;0;0;0;1
AT;4;1;1;0;0;0;0;0;1
AT;5;0;0;0;0;0;0;1;0
AT;6;0;0;1;0;0;0;0;1
AT;7;0;0;0;0;0;0;1;0
AT;8;0;0;0;0;0;0;1;0
AT;9;1;0;0;0;0;0;0;1
AT;10;0;0;0;1;0;0;0;0
BE;1;0;0;0;0;0;0;1;0
BE;2;0;0;0;0;0;0;1;0
BE;3;0;0;0;0;0;0;1;0
BE;4;1;0;0;0;0;0;0;1
BE;5;0;0;0;0;0;0;1;0
BE;6;0;0;1;0;0;0;0;1
BE;7;1;1;0;0;0;0;0;1
BE;8;0;0;0;0;0;0;1;0
BE;9;0;0;0;0;0;0;1;0
BE;10;0;0;0;0;0;0;1;0
BE;11;1;1;0;0;0;0;0;1
BE;12;0;0;0;0;0;0;1;0
BE;13;0;0;0;0;0;0;1;0
BE;14;0;0;1;0;0;0;0;1
BE;15;1;1;0;0;0;0;0;1
BE;16;0;0;0;1;0;0;0;0
CZ;1;0;0;1;0;0;0;0;1
CZ;2;0;0;0;0;0;0;1;0
CZ;3;0;0;0;0;0;0;1;0
CZ;4;1;0;0;0;0;0;0;1
CZ;5;0;0;0;0;0;0;1;0
CZ;6;0;0;0;0;0;0;1;0
CZ;7;1;1;0;0;0;0;0;1
CZ;8;0;0;0;1;0;0;0;0
EE;1;0;0;0;0;0;0;1;0
EE;2;0;0;0;0;0;0;1;0
EE;3;0;0;0;0;0;0;1;0
EE;4;0;0;0;0;0;0;1;0
EE;5;0;0;0;0;0;0;1;0
EE;6;1;1;0;0;0;0;0;1
EE;9;0;1;0;0;0;0;0;1
EE;10;0;0;0;1;0;0;0;0
EE;11;0;0;0;0;0;0;1;0
EE;12;0;1;0;0;0;0;0;1
EE;13;0;0;1;0;0;0;0;1
FI;1;0;0;0;0;0;0;1;0
FI;2;0;0;0;0;0;0;1;0
FI;3;0;0;0;0;0;0;1;0
FI;4;1;1;0;0;0;0;0;1
FI;5;0;0;0;0;0;0;1;0
FI;6;1;1;0;0;0;0;0;1
FI;7;0;0;0;0;0;0;1;0
FI;8;0;0;0;0;0;0;1;0
FI;9;0;0;0;0;0;0;1;0
FI;10;0;0;0;0;0;0;1;0
FI;11;0;0;0;0;0;0;1;0
FI;12;0;0;1;0;0;0;0;1
FI;13;0;0;1;0;0;0;0;1
FI;14;0;0;1;0;0;0;0;1
FI;15;0;0;1;0;0;0;0;1
FI;16;0;0;0;1;0;0;0;0
FR;1;0;0;0;0;0;0;1;0
FR;2;1;1;0;0;0;0;0;1
FR;3;0;0;0;0;0;0;1;0
FR;4;0;0;1;0;0;0;0;1
FR;5;0;0;1;0;0;0;0;1
FR;6;0;0;1;0;0;0;0;1
FR;7;0;0;1;0;0;0;0;1
FR;8;0;0;0;0;0;0;1;0
FR;9;0;0;0;0;0;0;1;0
FR;10;0;0;0;0;0;0;1;0
FR;11;0;0;0;0;0;0;1;0
FR;12;0;0;0;0;0;0;1;0
FR;13;0;0;0;0;0;0;1;0
FR;14;0;0;0;1;0;0;0;0
FR;15;0;0;0;0;0;1;0;0
FR;16;0;0;0;0;0;1;0;0
DE;1;0;0;0;0;0;0;1;0
DE;2;0;0;0;0;0;0;1;0
DE;3;1;0;1;0;0;0;0;1
DE;4;0;0;0;0;0;0;1;0
DE;5;0;0;0;0;0;0;1;0
DE;6;1;1;0;0;0;0;0;1
DE;7;0;0;0;0;0;0;1;0
DE;8;0;1;0;0;0;0;0;1
DE;9;0;0;0;1;0;0;0;0
HU;1;1;1;0;0;0;0;0;1
HU;2;1;1;0;0;0;0;0;1
