idno,cntry,dweight,pspwght,pweight,anweight,left_right,gender_ineq,anti_lgbt,eurosceptic,anti_immigration,anti_egalitarian,benefits_harm_economy,benefits_harm_society,welfare_chauvinism,anti_interventionism,anti_benefits_lowinc,anti_benefits_parents,anti_edu_spending,anti_basic_income,anti_climate_tax,anti_climate_renew,anti_climate_ban,climate_skeptic,authoritarian,anti_libertarian
1,AT,0.61167705,1.1784955,0.3703929,0.43650636,0.0,0.0,0.3333333333333333,0.5,0.0,0.3333333333333333,0.5,1.0,1.0,0.0,0.25,0.5,,0.75,0.0,0.0,0.25,0.25,0.2,0.27999999999999997
2,AT,1.2233541,0.8994715,0.3703929,0.33315787,0.1,0.25,0.3333333333333333,1.0,0.0,0.3333333333333333,0.5,0.25,0.6666666666666666,0.3333333333333333,0.75,0.75,0.5,0.5,0.0,0.25,0.25,0.25,0.24,0.44000000000000006
4,AT,0.38905773,0.31575334,0.3703929,0.11695279,0.5,0.0,0.5,0.0,0.5555555555555555,0.6666666666666666,0.125,0.75,0.3333333333333333,0.13333333333333333,0.75,1.0,0.75,0.0,0.75,0.25,0.25,0.25,0.72,0.56
6,AT,0.642594,0.4724674,0.3703929,0.17499857,0.0,0.5,0.4166666666666667,0.7,,0.5,0.5,0.25,0.0,0.4666666666666666,0.75,0.5,0.5,,0.5,0.5,0.5,0.5,0.6799999999999999,0.27999999999999997
10,AT,3.4324021,2.2467055,0.3703929,0.83216375,0.5,0.0,0.3333333333333333,0.8,0.2222222222222222,0.3333333333333333,0.5,0.375,0.6666666666666666,0.0,0.5,1.0,0.75,0.5,0.5,0.0,0.75,0.25,0.48,0.4
11,AT,1.1805793,1.011379,0.3703929,0.3746076,0.5,0.5,,0.9,0.0,0.3333333333333333,0.375,0.25,0.6666666666666666,0.10000000000000002,0.75,0.25,0.5,0.5,0.75,0.0,0.0,0.5,0.9199999999999999,0.56
12,AT,1.2734222,1.8380297,0.3703929,0.68079317,0.4,0.0,,0.3,0.4444444444444444,0.5,0.5,0.875,0.0,0.26666666666666666,0.5,0.5,0.75,,1.0,0.25,0.5,0.25,0.56,0.48
13,AT,2.1640499,1.2028018,0.3703929,0.44550925,0.5,0.25,0.5833333333333334,0.0,0.6666666666666666,0.3333333333333333,0.625,0.625,0.0,0.06666666666666667,0.75,0.75,0.5,0.25,0.75,0.0,0.0,0.25,0.8,0.39999999999999997
14,AT,0.4131185,0.32083097,0.3703929,0.11883351,0.5,0.0,0.5833333333333334,0.9,0.1111111111111111,0.6666666666666666,0.75,0.375,0.6666666666666666,0.0,0.5,0.5,0.5,0.5,0.25,0.0,0.0,0.75,0.5599999999999999,0.44000000000000006
15,AT,1.7849587,0.99757445,0.3703929,0.36949447,0.5,0.0,,0.1,0.3333333333333333,0.5,0.375,0.125,0.3333333333333333,0.6666666666666666,0.75,0.75,0.75,0.25,0.25,0.5,0.25,0.75,0.72,0.36
16,AT,0.41295302,0.5500596,0.3703929,0.20373817,0.5,0.0,0.3333333333333333,0.0,0.6666666666666666,0.5,0.5,,0.3333333333333333,0.0,0.5,0.75,0.5,0.5,1.0,0.25,1.0,0.25,0.68,0.44000000000000006
17,AT,1.0553485,0.6911919,0.3703929,0.25601256,0.8,0.75,0.4166666666666667,0.2,1.0,0.6666666666666666,0.375,0.0,0.0,0.26666666666666666,0.5,0.75,0.5,0.25,0.25,0.25,0.25,0.0,0.64,0.32
19,AT,0.8666936,0.6730806,0.3703929,0.24930428,0.5,0.25,0.3333333333333333,0.3,0.4444444444444444,0.6666666666666666,0.375,0.75,0.0,0.06666666666666667,0.5,0.5,0.5,,0.5,0.5,0.75,0.0,0.6400000000000001,0.36
21,AT,0.767498,1.2803395,0.3703929,0.47422865,,0.75,0.5833333333333334,0.1,0.6666666666666666,0.25,0.5,0.5,0.0,0.16666666666666666,0.5,0.75,1.0,,0.5,0.25,0.0,0.0,0.56,0.76
22,AT,0.62280774,0.6477802,0.3703929,0.23993318,0.6,0.0,0.3333333333333333,0.5,0.8888888888888888,0.6666666666666666,0.5,0.625,,0.0,1.0,1.0,1.0,0.0,0.75,0.25,0.75,0.25,0.9199999999999999,0.36000000000000004
23,AT,1.7364239,2.9338708,0.3703929,1.0866848,0.3,0.0,0.4166666666666667,1.0,0.3333333333333333,0.3333333333333333,0.375,0.625,0.0,0.3666666666666667,0.75,0.75,0.5,0.5,0.75,0.25,0.5,0.5,0.6399999999999999,0.08
24,AT,0.5087625,0.37406778,0.3703929,0.13855204,0.7,0.0,0.5,0.4,0.5555555555555555,0.5,0.5,0.5,0.6666666666666666,0.19999999999999998,0.75,0.75,1.0,0.25,0.25,0.25,0.25,0.25,0.8400000000000001,0.5599999999999999
28,AT,0.87705755,0.69678885,0.3703929,0.25808564,0.4,0.0,0.4166666666666667,0.4,0.2222222222222222,0.5833333333333334,0.25,0.375,0.3333333333333333,0.3333333333333333,0.75,1.0,0.75,0.0,0.5,0.0,0.5,0.5,0.72,0.36
29,AT,1.017525,0.6998673,0.3703929,0.25922588,0.9,0.25,0.3333333333333333,0.3,0.5555555555555555,0.4166666666666667,0.5,0.25,0.0,0.4000000000000001,0.75,,0.75,0.25,1.0,0.25,0.25,0.5,0.72,0.4
30,AT,0.50551033,0.505511,0.3703929,0.18723768,0.6,0.0,0.4166666666666667,0.0,0.8888888888888888,0.3333333333333333,0.625,0.75,,0.26666666666666666,1.0,1.0,1.0,0.0,1.0,1.0,0.5,0.75,0.96,0.6
32,AT,1.6518118,2.9315739,0.3703929,1.0858341,0.7,0.5,0.5833333333333334,0.3,0.3333333333333333,0.5833333333333334,0.5,0.25,0.3333333333333333,0.3333333333333333,0.5,0.5,0.75,0.0,0.5,0.25,0.25,0.25,0.64,0.48
34,AT,1.0742333,0.69475245,0.3703929,0.25733137,0.9,0.25,0.75,0.8,0.6666666666666666,0.5833333333333334,0.5,0.125,,0.43333333333333335,0.25,0.25,0.5,0.75,0.5,0.75,0.0,0.5,0.8400000000000001,0.24000000000000005
39,AT,1.7662833,1.5323528,0.3703929,0.5675726,1.0,1.0,0.3333333333333333,0.7,0.2222222222222222,0.5,0.625,0.375,0.3333333333333333,0.4666666666666666,0.5,0.75,0.5,0.25,0.25,0.5,0.75,0.75,0.8800000000000001,0.16
43,AT,0.6480055,0.36016834,0.3703929,0.1334038,0.5,0.0,0.3333333333333333,0.5,0.0,0.5833333333333334,0.5,1.0,0.3333333333333333,0.13333333333333333,0.75,0.5,0.5,0.25,0.25,0.0,0.0,0.0,0.76,0.12
45,AT,1.44096,0.741353,0.3703929,0.27459186,0.2,0.0,0.5833333333333334,0.5,0.4444444444444444,0.5,0.625,0.25,0.3333333333333333,0.3,0.5,1.0,0.5,0.0,0.25,0.0,0.5,0.5,0.8800000000000001,0.5199999999999999
48,AT,0.53482395,0.40534794,0.3703929,0.15013799,0.5,0.25,0.5833333333333334,0.8,0.3333333333333333,,0.625,0.75,0.3333333333333333,0.10000000000000002,0.5,0.75,0.5,0.5,0.25,0.25,0.25,0.5,0.8799999999999999,0.4
49,AT,1.2153455,1.8586552,0.3703929,0.6884327,0.5,0.0,0.0,1.0,0.2222222222222222,0.3333333333333333,0.5,0.625,,0.06666666666666667,0.75,0.75,0.25,0.0,0.25,0.0,0.25,0.25,0.96,0.24
50,AT,0.89775264,0.4826832,0.3703929,0.17878243,0.3,0.0,0.3333333333333333,0.0,0.6666666666666666,0.4166666666666667,0.625,0.875,0.3333333333333333,0.0,0.75,0.75,1.0,0.0,1.0,0.0,0.25,0.25,0.6,0.16
52,AT,1.3845699,0.7088468,0.3703929,0.2625518,0.5,0.25,0.4166666666666667,0.5,0.4444444444444444,0.5,0.5,0.25,0.3333333333333333,0.3666666666666667,0.75,0.5,0.5,0.25,0.5,0.25,0.25,0.5,0.52,0.4
53,AT,0.37437674,0.24167314,0.3703929,0.08951401,0.5,0.0,0.3333333333333333,0.7,0.8888888888888888,0.3333333333333333,0.5,0.5,,0.13333333333333333,1.0,1.0,0.75,0.25,0.25,0.25,0.0,0.0,0.72,0.28
54,AT,0.8669471,0.7376362,0.3703929,0.2732152,0.4,0.0,0.4166666666666667,0.6,0.3333333333333333,0.4166666666666667,0.625,0.875,1.0,0.20000000000000004,0.5,0.5,,0.5,1.0,0.0,0.25,0.25,0.64,0.16
56,AT,1.1259264,0.7744271,0.3703929,0.2868423,0.5,0.0,0.3333333333333333,0.5,0.0,0.4166666666666667,0.5,0.5,1.0,0.3333333333333333,1.0,0.25,0.5,0.25,0.25,0.0,0.0,0.25,0.56,0.4
57,AT,1.3907148,0.74772775,0.3703929,0.27695304,0.5,0.25,0.4166666666666667,0.4,0.5555555555555555,0.5,,,0.6666666666666666,0.4666666666666666,0.75,0.75,0.5,0.25,0.75,0.5,0.5,0.25,0.56,0.5599999999999999
58,AT,2.6845434,2.353373,0.3703929,0.87167263,,0.5,0.4166666666666667,0.2,0.6666666666666666,0.5,0.5,0.25,0.0,0.2333333333333333,0.75,0.75,0.75,0.25,0.25,0.0,0.0,0.25,0.6399999999999999,0.27999999999999997
60,AT,1.9440165,1.2662293,0.3703929,0.4690023,0.4,0.0,0.5,0.0,0.3333333333333333,0.25,0.5,0.25,0.3333333333333333,0.5333333333333333,0.25,0.5,0.5,0.5,0.0,0.0,0.0,0.25,0.8400000000000001,0.5599999999999999
61,AT,2.908315,3.9999995,0.3703929,1.4815714,,0.25,0.5,0.6,0.3333333333333333,0.4166666666666667,0.5,0.75,1.0,0.3666666666666667,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.52,0.43999999999999995
63,AT,1.1397051,2.224231,0.3703929,0.82383937,0.2,0.0,0.3333333333333333,0.8,0.0,0.3333333333333333,0.5,1.0,1.0,0.0,0.75,0.5,0.5,0.5,0.75,0.0,0.0,0.5,0.76,0.2
64,AT,1.3886967,2.1523912,0.3703929,0.79723036,0.0,0.0,0.5,0.8,0.4444444444444444,0.3333333333333333,0.625,0.75,0.6666666666666666,0.16666666666666666,0.75,0.5,0.75,0.5,0.0,0.0,0.0,0.25,0.96,0.76
66,AT,0.74875355,0.56642747,0.3703929,0.2098007,0.4,0.25,0.0,0.5,0.5555555555555555,0.5833333333333334,0.625,0.25,0.0,0.10000000000000002,0.5,0.5,0.5,0.25,0.75,0.5,0.25,0.25,0.76,0.64
