country,n_respondents,n_edges,description_length,time_s
AT_anti_libertarianism_flipped,1766,89,-3510.8027990055402,2322.8
BE_anti_libertarianism_flipped,1672,99,-4766.342918781381,1767.3
CH_anti_libertarianism_flipped,1318,93,-4358.104241286933,2091.3
CZ_anti_libertarianism_flipped,1920,105,-1350.2708626900596,2112.8
DE_anti_libertarianism_flipped,2619,107,-8833.765801468371,2275.8
EE_anti_libertarianism_flipped,1836,94,-5526.19688834226,1233.3
ES_anti_libertarianism_flipped,1495,111,-2647.519104497003,1838.0
FI_anti_libertarianism_flipped,1795,104,-7412.444418390677,1138.3
FR_anti_libertarianism_flipped,1905,100,-2994.931595867403,1885.5
GB_anti_libertarianism_flipped,1791,103,-6047.68669208171,1438.4
HU_anti_libertarianism_flipped,1194,87,-1846.358153836626,1558.7
IE_anti_libertarianism_flipped,2360,111,-5463.775903219013,1001.8
IL_anti_libertarianism_flipped,1849,107,-1298.2756324197512,1312.8
IS_anti_libertarianism_flipped,789,78,-2548.2701243218185,1690.8
IT_anti_libertarianism_flipped,1937,98,-4676.275641472855,1544.3
LT_anti_libertarianism_flipped,1478,90,-2794.8880035609504,1066.6
NL_anti_libertarianism_flipped,1541,92,-5724.551960373012,994.8
NO_anti_libertarianism_flipped,1431,103,-5609.323211604486,963.0
PL_anti_libertarianism_flipped,1297,88,-1644.262826145089,826.2
PT_anti_libertarianism_flipped,1134,109,-1988.4430021023227,1169.9
RU_anti_libertarianism_flipped,1515,103,-2806.0793170888064,994.5
SE_anti_libertarianism_flipped,1372,99,-4396.566979078388,822.7
SI_anti_libertarianism_flipped,1104,109,-2670.36116326779,928.0
