country,sample,n_edges,description_length
GB,0,105,-5511.455668667241
GB,1,101,-5150.6591097293895
GB,2,96,-4983.982549879472
GB,3,99,-5341.559741089556
GB,4,94,-5521.959939384741
GB,5,104,-5175.035717892976
GB,6,105,-5291.559891235352
GB,7,93,-5010.758828513479
GB,8,102,-4971.142543428907
GB,9,101,-5372.498000304813
GB,10,100,-5055.208758552804
GB,11,97,-5439.647443938701
GB,12,94,-5391.221070114426
GB,13,98,-5183.878474725714
GB,14,100,-5286.537979183421
GB,15,98,-5281.098104307732
GB,16,117,-6012.8249170796
GB,17,104,-5322.772385884089
GB,18,99,-4698.746679253659
GB,19,97,-5138.375263891934
GB,20,109,-5335.5189967107335
GB,21,106,-5261.319662893898
GB,22,100,-5115.621683815165
GB,23,104,-5626.111152015294
GB,24,99,-5339.5283398361835
GB,25,102,-5521.128717150452
GB,26,97,-4759.604772141902
GB,27,92,-5013.162482531615
GB,28,94,-5292.046681750244
GB,29,103,-5509.227209329897
GB,30,90,-4994.8912004864405
GB,31,94,-5313.98825423196
GB,32,92,-5077.35992335727
GB,33,100,-5085.21062207994
GB,34,99,-5304.083411008662
GB,35,93,-5060.346634815811
GB,36,86,-4560.553977261408
GB,37,102,-5397.822733644155
GB,38,102,-5218.342560129482
GB,39,94,-5216.280496710417
GB,40,90,-5101.872280924688
GB,41,102,-5545.197939503179
GB,42,94,-5227.593070404157
GB,43,97,-4847.315037444196
GB,44,99,-5380.345235365985
GB,45,100,-5410.174717072599
GB,46,98,-5247.262722580212
GB,47,96,-5272.047065114451
GB,48,107,-5658.932750263776
GB,49,93,-5274.92415198615
GB,50,106,-5291.427403083365
GB,51,100,-5215.323961625351
GB,52,100,-5328.419450822973
GB,53,104,-5223.6835201784
GB,54,93,-5161.872235673873
GB,55,96,-4986.854919391435
GB,56,96,-5158.688859490919
GB,57,100,-4812.90034009024
GB,58,98,-5088.105858458468
GB,59,101,-5439.919450052864
GB,60,103,-5118.936085314037
GB,61,105,-5246.80815125777
GB,62,93,-5563.4907993269935
GB,63,103,-5416.266190744343
GB,64,99,-5392.626696344841
GB,65,108,-5408.274220545268
GB,66,94,-5285.724810085072
GB,67,107,-5088.387541075035
GB,68,103,-5509.257875525445
GB,69,90,-5037.554509951252
GB,70,94,-5107.000627485087
GB,71,107,-5671.342627914825
GB,72,99,-5387.558198766791
GB,73,98,-5527.180239537067
GB,74,104,-5287.200955494741
GB,75,88,-4778.09562450559
GB,76,95,-5203.456567428444
GB,77,95,-5223.387816874085
GB,78,93,-5035.521864154165
GB,79,97,-5235.934785302393
GB,80,96,-5407.029670982635
GB,81,96,-5089.7513034489375
GB,82,99,-5274.08297200887
GB,83,106,-5341.755829779298
GB,84,95,-5281.008628791432
GB,85,103,-5021.33714517611
GB,86,93,-4889.441734756533
GB,87,93,-5323.620037376603
GB,88,93,-5008.421954551681
GB,89,96,-5187.827487062851
GB,90,95,-5065.224033076533
GB,91,106,-4982.757350782824
GB,92,98,-5181.221527639019
GB,93,97,-4728.844168890838
GB,94,101,-5476.69261104472
GB,95,100,-5076.734249450829
GB,96,96,-5255.056664651811
GB,97,104,-5113.086735627405
GB,98,100,-5603.213392161792
GB,99,96,-5271.759854701182
