country,sample,n_edges,description_length
RU,0,104,-1812.5183600653238
RU,1,98,-2180.629116973127
RU,2,90,-1225.381214325824
RU,3,100,-2199.203869249369
RU,4,101,-2340.314330370017
RU,5,98,-2009.9377884014639
RU,6,95,-2135.968026195287
RU,7,98,-2077.086834363267
RU,8,97,-2241.029918895189
RU,9,94,-1716.5102884174023
RU,10,97,-2046.78770915522
RU,11,99,-1696.3541860335795
RU,12,93,-1708.0765941316768
RU,13,95,-2099.995616136368
RU,14,98,-1897.9011674488602
RU,15,102,-2104.684248229365
RU,16,105,-2448.2097917564406
RU,17,90,-1706.7635495177774
RU,18,98,-1954.2185531704308
RU,19,93,-1585.5270191907912
RU,20,101,-1922.142253752122
RU,21,99,-2119.6652850126684
RU,22,96,-2057.5057868778586
RU,23,101,-2177.3415383525585
RU,24,101,-2114.92775782582
RU,25,111,-1997.9675378977486
RU,26,97,-1856.2518534828369
RU,27,99,-1851.2660316588112
RU,28,98,-1827.296593989652
RU,29,93,-1943.2743427046591
RU,30,95,-2297.2113459541624
RU,31,103,-2020.8656918955653
RU,32,95,-2144.9415206543567
RU,33,100,-2143.0169047888403
RU,34,98,-2027.023688337976
RU,35,98,-1730.0238645487286
RU,36,99,-2358.987052029216
RU,37,99,-2022.4042549901187
RU,38,99,-1731.3710126355236
RU,39,99,-2161.247744701492
RU,40,115,-3066.6491937584574
RU,41,96,-2117.7577671132385
RU,42,96,-1619.8881122286934
RU,43,96,-1818.4761565859226
RU,44,98,-1901.190933302723
RU,45,98,-1904.8754374920773
RU,46,93,-2038.985195945373
RU,47,99,-1567.2306283906241
RU,48,100,-2425.2512701045016
RU,49,103,-2023.54283193637
RU,50,97,-1955.4431635321832
RU,51,100,-1586.33673559761
RU,52,89,-1788.5261936683817
RU,53,105,-2058.3784605273395
RU,54,100,-2230.3999073744126
RU,55,98,-1809.2930355903916
RU,56,92,-1657.160555937548
RU,57,110,-2354.4656100417
RU,58,100,-1911.4084175557682
RU,59,103,-2097.672585836285
RU,60,103,-2395.523125678023
RU,61,101,-2120.3900442324066
RU,62,101,-1946.2099250808908
RU,63,89,-1595.9560313626612
RU,64,92,-1170.5242363205314
RU,65,106,-2362.9704847306994
RU,66,106,-2464.8099627028178
RU,67,94,-1899.999642985076
RU,68,108,-2485.7849478231374
RU,69,100,-1509.2309702480911
RU,70,103,-2153.886725170046
RU,71,97,-2252.693165825516
RU,72,107,-1924.8155404072565
RU,73,99,-2250.906291210957
RU,74,100,-2211.005574106169
RU,75,100,-1739.8200693686874
RU,76,104,-2462.382837002739
RU,77,99,-2156.255369160999
RU,78,98,-2136.988481910954
RU,79,97,-2296.1796914154065
RU,80,92,-1753.7080095414692
RU,81,99,-2030.444866055146
RU,82,99,-2292.668677322039
RU,83,97,-1957.5499168380572
RU,84,97,-2225.2903872540282
RU,85,93,-2042.8632929304915
RU,86,104,-2540.201639332171
RU,87,98,-1979.8132929019305
RU,88,118,-3001.079342896722
RU,89,103,-1493.079644727009
RU,90,91,-1436.0462041138703
RU,91,101,-2109.030378210503
RU,92,102,-2152.8588473065042
RU,93,100,-2191.2915986160283
RU,94,95,-2182.746444561907
RU,95,99,-2424.683349443208
RU,96,100,-1976.4283151249697
RU,97,95,-2230.86484804933
RU,98,104,-2174.4192202595623
RU,99,98,-1774.6292213828692
