country,n_respondents,n_edges,description_length,time_s
AT,1766,100,-3402.065272548216,1351.9
BE,1672,110,-4456.436458184631,1249.9
CH,1318,92,-4244.527239566681,897.9
CZ,1920,112,-1158.7656998372586,1402.9
DE,2619,114,-8888.358205410397,2275.7
EE,1836,89,-5618.561683294519,925.5
ES,1495,89,-2837.6281372389494,1263.9
FI,1795,100,-7597.901516364342,1451.8
FR,1905,98,-3315.6256779123123,1820.5
GB,1791,92,-6041.664936971619,1448.0
HU,1194,97,-1937.9171859491455,1319.1
IE,2360,113,-5797.136457249878,1683.5
IL,1849,98,-1301.3776605882415,1790.2
IS,789,94,-2666.9115871499207,1660.5
IT,1937,108,-4742.121769080719,1372.7
LT,1478,80,-2883.80397032263,796.5
NL,1541,90,-6059.100246492791,924.6
NO,1431,99,-5807.613105292801,1302.7
PL,1297,90,-2215.615278902724,688.7
PT,1134,89,-2033.2247901875467,1059.0
RU,1515,97,-2790.719727470736,1151.4
SE,1372,97,-4497.684609401583,949.3
SI,1104,92,-2601.8148489679265,1012.2
