country,network_type,flipped_dimension,file_name,number_of_edges,total_triangles,imbalanced_triangles,ratio_imbalanced,edge_weight_sum
AT,one_variable_flipped,anti_basic_income,AT_anti_basic_income_flipped.graphml,92,124,33,0.266129,8.536727
AT,one_variable_flipped,anti_climate_ban_appliances,AT_anti_climate_ban_appliances_flipped.graphml,92,136,41,0.301471,8.518584
AT,one_variable_flipped,anti_climate_change_renewables,AT_anti_climate_change_renewables_flipped.graphml,87,116,36,0.310345,8.446147
AT,one_variable_flipped,anti_climate_change_taxes,AT_anti_climate_change_taxes_flipped.graphml,91,135,34,0.251852,8.531883
AT,one_variable_flipped,anti_economic_interventionism,AT_anti_economic_interventionism_flipped.graphml,85,103,24,0.233010,8.441995
AT,one_variable_flipped,anti_egalitarianism,AT_anti_egalitarianism_flipped.graphml,87,110,26,0.236364,8.527695
AT,one_variable_flipped,anti_immigration,AT_anti_immigration_flipped.graphml,93,132,40,0.303030,8.616494
AT,one_variable_flipped,anti_lgbt,AT_anti_lgbt_flipped.graphml,96,149,43,0.288591,8.734159
AT,one_variable_flipped,anti_libertarianism,AT_anti_libertarianism_flipped.graphml,89,112,25,0.223214,8.519292
AT,one_variable_flipped,anti_social_benefits_low_income,AT_anti_social_benefits_low_income_flipped.graphml,87,114,30,0.263158,8.455050
AT,one_variable_flipped,anti_social_benefits_parents,AT_anti_social_benefits_parents_flipped.graphml,90,131,37,0.282443,8.607388
AT,one_variable_flipped,authoritarianism,AT_authoritarianism_flipped.graphml,85,106,24,0.226415,8.554743
AT,one_variable_flipped,benefits_harm_economy,AT_benefits_harm_economy_flipped.graphml,92,138,50,0.362319,8.589790
AT,one_variable_flipped,benefits_harm_society,AT_benefits_harm_society_flipped.graphml,91,136,37,0.272059,8.744663
AT,one_variable_flipped,climate_skepticism,AT_climate_skepticism_flipped.graphml,85,106,28,0.264151,8.512797
AT,one_variable_flipped,educational_spending,AT_educational_spending_flipped.graphml,103,189,63,0.333333,9.437069
AT,one_variable_flipped,euroscepticism,AT_euroscepticism_flipped.graphml,91,133,35,0.263158,8.506373
AT,one_variable_flipped,gender_inequality,AT_gender_inequality_flipped.graphml,87,110,27,0.245455,8.541667
AT,one_variable_flipped,left_right_identification,AT_left_right_identification_flipped.graphml,91,125,35,0.280000,8.537505
AT,one_variable_flipped,welfare_chauvinism,AT_welfare_chauvinism_flipped.graphml,90,134,39,0.291045,8.541862
AT,original,,AT.graphml,100,182,65,0.357143,9.742850
BE,one_variable_flipped,anti_basic_income,BE_anti_basic_income_flipped.graphml,109,197,63,0.319797,8.246528
BE,one_variable_flipped,anti_climate_ban_appliances,BE_anti_climate_ban_appliances_flipped.graphml,105,176,43,0.244318,8.118610
BE,one_variable_flipped,anti_climate_change_renewables,BE_anti_climate_change_renewables_flipped.graphml,105,178,64,0.359551,8.057472
BE,one_variable_flipped,anti_climate_change_taxes,BE_anti_climate_change_taxes_flipped.graphml,100,153,57,0.372549,8.287506
BE,one_variable_flipped,anti_economic_interventionism,BE_anti_economic_interventionism_flipped.graphml,101,153,52,0.339869,8.251173
BE,one_variable_flipped,anti_egalitarianism,BE_anti_egalitarianism_flipped.graphml,101,157,57,0.363057,8.382760
BE,one_variable_flipped,anti_immigration,BE_anti_immigration_flipped.graphml,108,188,68,0.361702,8.127711
BE,one_variable_flipped,anti_lgbt,BE_anti_lgbt_flipped.graphml,103,170,50,0.294118,8.012299
BE,one_variable_flipped,anti_libertarianism,BE_anti_libertarianism_flipped.graphml,99,150,51,0.340000,8.244161
BE,one_variable_flipped,anti_social_benefits_low_income,BE_anti_social_benefits_low_income_flipped.graphml,98,140,40,0.285714,8.214613
BE,one_variable_flipped,anti_social_benefits_parents,BE_anti_social_benefits_parents_flipped.graphml,98,135,39,0.288889,8.009841
BE,one_variable_flipped,authoritarianism,BE_authoritarianism_flipped.graphml,108,192,56,0.291667,8.047674
BE,one_variable_flipped,benefits_harm_economy,BE_benefits_harm_economy_flipped.graphml,117,264,102,0.386364,9.007966
BE,one_variable_flipped,benefits_harm_society,BE_benefits_harm_society_flipped.graphml,105,177,62,0.350282,8.353713
BE,one_variable_flipped,climate_skepticism,BE_climate_skepticism_flipped.graphml,112,234,91,0.388889,8.908264
BE,one_variable_flipped,educational_spending,BE_educational_spending_flipped.graphml,114,237,97,0.409283,8.484152
BE,one_variable_flipped,euroscepticism,BE_euroscepticism_flipped.graphml,108,187,60,0.320856,8.226584
BE,one_variable_flipped,gender_inequality,BE_gender_inequality_flipped.graphml,104,171,57,0.333333,8.206985
BE,one_variable_flipped,left_right_identification,BE_left_right_identification_flipped.graphml,99,140,42,0.300000,8.030426
BE,one_variable_flipped,welfare_chauvinism,BE_welfare_chauvinism_flipped.graphml,104,178,62,0.348315,8.479770
BE,original,,BE.graphml,110,208,73,0.350962,8.431915
CH,one_variable_flipped,anti_basic_income,CH_anti_basic_income_flipped.graphml,85,115,22,0.191304,7.658453
CH,one_variable_flipped,anti_climate_ban_appliances,CH_anti_climate_ban_appliances_flipped.graphml,84,107,27,0.252336,7.666014
CH,one_variable_flipped,anti_climate_change_renewables,CH_anti_climate_change_renewables_flipped.graphml,111,248,108,0.435484,9.355460
CH,one_variable_flipped,anti_climate_change_taxes,CH_anti_climate_change_taxes_flipped.graphml,90,123,37,0.300813,8.223599
