country,number_of_edges_mean,ratio_imbalanced_mean,edge_weight_sum_mean,n_networks
AT,90.666667,0.278794,8.649749,21
BE,105.142857,0.335691,8.291911,21
CH,95.571429,0.303085,8.348323,21
CZ,111.142857,0.458140,9.170225,21
DE,111.190476,0.301415,8.325520,21
EE,94.619048,0.316508,7.615668,21
ES,92.952381,0.311716,8.039251,21
FI,99.571429,0.283359,7.811602,21
FR,98.523810,0.285008,8.092180,21
GB,101.619048,0.272669,8.180992,21
HU,99.285714,0.444272,9.065585,21
IE,107.714286,0.431507,8.648290,21
IL,100.904762,0.377904,8.469966,21
IS,84.428571,0.288293,8.134278,21
IT,100.000000,0.371711,8.565098,21
LT,83.571429,0.456105,8.899851,21
NL,89.761905,0.290478,7.756400,21
NO,100.952381,0.297758,8.020480,21
PL,94.523810,0.410352,8.242154,21
PT,94.476190,0.402453,7.716994,21
RU,98.523810,0.465736,8.348647,21
SE,98.619048,0.352568,8.625447,21
SI,96.476190,0.423909,7.741131,21
