country_code,weights_name,first_column,column_average,average_color_hex
CH,partial_correlation_CH,left_right_identification,0.06501708715315098,#eaf1f5
IS,partial_correlation_IS,left_right_identification,0.059074443622536985,#ecf2f5
NL,partial_correlation_NL,left_right_identification,0.05546513129488737,#ecf2f5
NO,partial_correlation_NO,left_right_identification,0.053920483179917156,#edf2f5
FR,partial_correlation_FR,left_right_identification,0.05161414436521989,#edf2f5
SE,partial_correlation_SE,left_right_identification,0.048605830399535234,#edf2f5
ES,partial_correlation_ES,left_right_identification,0.04707870516293326,#edf2f5
GB,partial_correlation_GB,left_right_identification,0.04704699653836184,#edf2f5
AT,partial_correlation_AT,left_right_identification,0.04377484329949204,#eff3f5
FI,partial_correlation_FI,left_right_identification,0.04165949719238241,#eff3f5
DE,partial_correlation_DE,left_right_identification,0.04162388392568211,#eff3f5
BE,partial_correlation_BE,left_right_identification,0.04023310165866736,#eff3f5
IL,partial_correlation_IL,left_right_identification,0.027144579163565188,#f2f5f6
IT,partial_correlation_IT,left_right_identification,0.025766933836955462,#f2f5f6
HU,partial_correlation_HU,left_right_identification,0.02568292276053777,#f2f5f6
SI,partial_correlation_SI,left_right_identification,0.023031438926947912,#f3f5f6
IE,partial_correlation_IE,left_right_identification,0.022976494836733096,#f3f5f6
PL,partial_correlation_PL,left_right_identification,0.01797353379283616,#f3f5f6
PT,partial_correlation_PT,left_right_identification,0.013757030522432746,#f5f6f7
CZ,partial_correlation_CZ,left_right_identification,0.009014377139861026,#f5f6f7
EE,partial_correlation_EE,left_right_identification,0.006039975385858894,#f6f7f7
LT,partial_correlation_LT,left_right_identification,0.001879902940035184,#f6f7f7
RU,partial_correlation_RU,left_right_identification,-0.0018650150463972257,#f7f6f6
