graph_name,file_name,number_of_nodes,number_of_edges,total_triangles,three_negative_edges,ratio_three_negative,two_positive_one_negative,ratio_two_positive_one_negative,imbalanced_triangles,ratio_imbalanced,three_negative_absolute_weight_sum,two_positive_one_negative_absolute_weight_sum,imbalanced_absolute_weight_sum,three_negative_onnela_intensity_sum,two_positive_one_negative_onnela_intensity_sum,imbalanced_onnela_intensity_sum
AT,AT.graphml,20,100,182,3,0.016,62,0.341,65,0.357,0.870,17.338,18.208,0.247,5.206,5.453
BE,BE.graphml,20,110,208,4,0.019,69,0.332,73,0.351,0.764,14.521,15.285,0.233,4.409,4.642
CH,CH.graphml,20,92,146,4,0.027,39,0.267,43,0.295,0.808,8.877,9.685,0.247,2.710,2.957
CZ,CZ.graphml,20,112,244,10,0.041,103,0.422,113,0.463,2.608,23.656,26.265,0.768,7.015,7.782
DE,DE.graphml,20,114,255,4,0.016,74,0.290,78,0.306,0.669,15.175,15.844,0.218,4.610,4.828
EE,EE.graphml,20,89,131,3,0.023,34,0.260,37,0.282,0.871,7.161,8.031,0.281,2.182,2.464
ES,ES.graphml,20,89,105,0,0.000,27,0.257,27,0.257,0.000,6.269,6.269,0.000,1.926,1.926
FI,FI.graphml,20,100,170,1,0.006,47,0.276,48,0.282,0.193,10.640,10.833,0.064,3.261,3.325
FR,FR.graphml,20,98,159,1,0.006,38,0.239,39,0.245,0.164,8.608,8.772,0.052,2.633,2.685
GB,GB.graphml,20,92,131,1,0.008,30,0.229,31,0.237,0.239,7.006,7.246,0.079,2.124,2.203
HU,HU.graphml,20,97,157,15,0.096,51,0.325,66,0.420,4.026,13.553,17.580,1.172,4.197,5.369
IE,IE.graphml,20,113,226,5,0.022,91,0.403,96,0.425,1.021,19.522,20.543,0.284,5.860,6.144
IL,IL.graphml,20,98,151,3,0.020,48,0.318,51,0.338,0.698,12.155,12.854,0.178,3.589,3.767
IS,IS.graphml,20,94,144,1,0.007,43,0.299,44,0.306,0.251,10.707,10.958,0.083,3.315,3.397
IT,IT.graphml,20,108,217,7,0.032,79,0.364,86,0.396,1.504,16.017,17.521,0.427,4.817,5.244
LT,LT.graphml,20,80,99,4,0.040,37,0.374,41,0.414,1.718,11.140,12.858,0.467,3.420,3.887
NL,NL.graphml,20,90,118,2,0.017,29,0.246,31,0.263,0.354,7.044,7.398,0.101,1.983,2.084
NO,NO.graphml,20,99,176,3,0.017,57,0.324,60,0.341,0.565,11.641,12.206,0.182,3.652,3.834
PL,PL.graphml,20,90,120,4,0.033,37,0.308,41,0.342,0.871,9.285,10.156,0.279,2.829,3.107
PT,PT.graphml,20,89,110,2,0.018,37,0.336,39,0.355,0.482,7.779,8.260,0.122,2.415,2.537
RU,RU.graphml,20,97,172,14,0.081,73,0.424,87,0.506,4.218,17.543,21.762,1.196,5.406,6.602
SE,SE.graphml,20,97,150,1,0.007,49,0.327,50,0.333,0.246,10.820,11.066,0.075,3.346,3.421
SI,SI.graphml,20,92,133,6,0.045,53,0.398,59,0.444,1.425,11.412,12.837,0.447,3.556,4.003
