country_code,weights_name,zero_threshold,near_zero_count,total_edges,near_zero_fraction
SI,correlation_SI,0.05,96,190,0.5052631578947369
EE,correlation_EE,0.05,90,190,0.47368421052631576
CZ,correlation_CZ,0.05,86,190,0.45263157894736844
PT,correlation_PT,0.05,86,190,0.45263157894736844
PL,correlation_PL,0.05,85,190,0.4473684210526316
RU,correlation_RU,0.05,84,190,0.4421052631578947
IE,correlation_IE,0.05,80,190,0.42105263157894735
IL,correlation_IL,0.05,78,190,0.4105263157894737
HU,correlation_HU,0.05,76,190,0.4
LT,correlation_LT,0.05,73,190,0.38421052631578945
IT,correlation_IT,0.05,70,190,0.3684210526315789
DE,correlation_DE,0.05,64,190,0.3368421052631579
IS,correlation_IS,0.05,64,190,0.3368421052631579
FR,correlation_FR,0.05,63,190,0.33157894736842103
NO,correlation_NO,0.05,61,190,0.32105263157894737
NL,correlation_NL,0.05,60,190,0.3157894736842105
SE,correlation_SE,0.05,59,190,0.3105263157894737
AT,correlation_AT,0.05,59,190,0.3105263157894737
FI,correlation_FI,0.05,58,190,0.30526315789473685
BE,correlation_BE,0.05,57,190,0.3
ES,correlation_ES,0.05,52,190,0.2736842105263158
CH,correlation_CH,0.05,47,190,0.24736842105263157
GB,correlation_GB,0.05,44,190,0.23157894736842105
