country_code,weights_name,rank,belief,absolute_edge_sum
AT,correlation_AT,1,anti_immigration,2.806255371104409
AT,correlation_AT,2,welfare_chauvinism,2.50196227028018
AT,correlation_AT,3,left_right_identification,2.37697013775608
AT,correlation_AT,4,anti_basic_income,2.3286946971515676
AT,correlation_AT,5,anti_lgbt,2.2922233887602723
BE,correlation_BE,1,anti_immigration,2.256153355596891
BE,correlation_BE,2,welfare_chauvinism,2.0500418947649757
BE,correlation_BE,3,anti_climate_change_renewables,2.0427737419155925
BE,correlation_BE,4,anti_climate_change_taxes,1.9641890398455155
BE,correlation_BE,5,gender_inequality,1.901636052655449
CH,correlation_CH,1,left_right_identification,3.274442672049976
CH,correlation_CH,2,anti_immigration,2.9442147793219844
CH,correlation_CH,3,anti_lgbt,2.8667148212068936
CH,correlation_CH,4,benefits_harm_economy,2.7216902790739663
CH,correlation_CH,5,anti_climate_change_taxes,2.7140489796115927
CZ,correlation_CZ,1,anti_egalitarianism,1.804303735688991
CZ,correlation_CZ,2,anti_libertarianism,1.6703298816154213
CZ,correlation_CZ,3,anti_immigration,1.648943427397439
CZ,correlation_CZ,4,left_right_identification,1.6129515694760943
CZ,correlation_CZ,5,anti_lgbt,1.5637707741951767
DE,correlation_DE,1,anti_immigration,2.831498325066415
DE,correlation_DE,2,anti_lgbt,2.6269498257282256
DE,correlation_DE,3,benefits_harm_economy,2.3954031313473103
DE,correlation_DE,4,anti_climate_change_renewables,2.2756741533524045
DE,correlation_DE,5,anti_climate_change_taxes,2.196246710804161
EE,correlation_EE,1,anti_lgbt,2.0742477686555256
EE,correlation_EE,2,anti_immigration,2.040883779703311
EE,correlation_EE,3,educational_spending,1.8047622777450767
EE,correlation_EE,4,euroscepticism,1.7480226811530586
EE,correlation_EE,5,anti_climate_change_taxes,1.6627172288098397
ES,correlation_ES,1,anti_lgbt,2.6833275582872065
ES,correlation_ES,2,anti_immigration,2.574277601628893
ES,correlation_ES,3,anti_egalitarianism,2.393472607957998
ES,correlation_ES,4,left_right_identification,2.20729634871855
ES,correlation_ES,5,benefits_harm_economy,2.193085206770777
FI,correlation_FI,1,anti_lgbt,2.987263864371015
FI,correlation_FI,2,anti_immigration,2.745638360450485
FI,correlation_FI,3,anti_climate_change_taxes,2.367416050850639
FI,correlation_FI,4,benefits_harm_economy,2.367207122389222
FI,correlation_FI,5,anti_climate_change_renewables,2.351818541925042
FR,correlation_FR,1,anti_immigration,2.8696162514947945
FR,correlation_FR,2,left_right_identification,2.341956138913218
FR,correlation_FR,3,welfare_chauvinism,2.2873876633323036
FR,correlation_FR,4,anti_climate_change_renewables,2.1776378925364033
FR,correlation_FR,5,anti_lgbt,2.0864525210176437
GB,correlation_GB,1,anti_immigration,2.8495679707989083
GB,correlation_GB,2,benefits_harm_economy,2.696027723246646
GB,correlation_GB,3,anti_lgbt,2.5833762686314703
GB,correlation_GB,4,left_right_identification,2.530805736089359
GB,correlation_GB,5,anti_climate_change_renewables,2.346254514621362
HU,correlation_HU,1,welfare_chauvinism,2.6085895941972437
HU,correlation_HU,2,anti_immigration,2.1764049286031497
HU,correlation_HU,3,anti_lgbt,2.09985848824802
HU,correlation_HU,4,euroscepticism,2.061385761196569
HU,correlation_HU,5,authoritarianism,1.8982162921710595
IE,correlation_IE,1,anti_lgbt,2.1031973912495716
IE,correlation_IE,2,anti_immigration,2.0944136158949025
IE,correlation_IE,3,gender_inequality,1.8545506222263022
IE,correlation_IE,4,anti_climate_change_renewables,1.7336365402679663
IE,correlation_IE,5,anti_economic_interventionism,1.6750806778606422
IL,correlation_IL,1,anti_basic_income,2.3563892041239094
