country_code,weights_name,zero_threshold,near_zero_count,total_edges,near_zero_fraction
IL,partial_correlation_IL,0.05,149,190,0.7842105263157895
RU,partial_correlation_RU,0.05,149,190,0.7842105263157895
PT,partial_correlation_PT,0.05,139,190,0.7315789473684211
SI,partial_correlation_SI,0.05,139,190,0.7315789473684211
NL,partial_correlation_NL,0.05,138,190,0.7263157894736842
FR,partial_correlation_FR,0.05,137,190,0.7210526315789474
EE,partial_correlation_EE,0.05,136,190,0.7157894736842105
IS,partial_correlation_IS,0.05,136,190,0.7157894736842105
LT,partial_correlation_LT,0.05,135,190,0.7105263157894737
IE,partial_correlation_IE,0.05,134,190,0.7052631578947368
GB,partial_correlation_GB,0.05,133,190,0.7
CH,partial_correlation_CH,0.05,133,190,0.7
PL,partial_correlation_PL,0.05,132,190,0.6947368421052632
BE,partial_correlation_BE,0.05,131,190,0.6894736842105263
DE,partial_correlation_DE,0.05,131,190,0.6894736842105263
ES,partial_correlation_ES,0.05,130,190,0.6842105263157895
FI,partial_correlation_FI,0.05,130,190,0.6842105263157895
IT,partial_correlation_IT,0.05,128,190,0.6736842105263158
HU,partial_correlation_HU,0.05,128,190,0.6736842105263158
NO,partial_correlation_NO,0.05,128,190,0.6736842105263158
CZ,partial_correlation_CZ,0.05,127,190,0.6684210526315789
SE,partial_correlation_SE,0.05,127,190,0.6684210526315789
AT,partial_correlation_AT,0.05,113,190,0.5947368421052631
