merge_step,cluster_id,child_1_id,child_1_label,child_2_id,child_2_label,distance,n_members
1,23,9,GB,21,SE,0.8644976530926078,2
2,24,8,FR,16,NL,0.8702517391592904,2
3,25,2,CH,4,DE,0.8946500523138969,2
4,26,24,cluster_24,25,cluster_25,0.9746588513960103,4
5,27,1,BE,7,FI,0.979574983572366,2
6,28,17,NO,23,cluster_23,0.988933529180298,3
7,29,5,EE,19,PT,1.0378177236478805,2
8,30,6,ES,28,cluster_28,1.0437967260295071,4
9,31,11,IE,14,IT,1.095523457359577,2
10,32,13,IS,27,cluster_27,1.1037601101282077,3
11,33,18,PL,22,SI,1.120333700337982,2
12,34,30,cluster_30,32,cluster_32,1.1330580238602264,7
13,35,29,cluster_29,31,cluster_31,1.1763655442861314,4
14,36,3,CZ,20,RU,1.2335547268747595,2
15,37,26,cluster_26,34,cluster_34,1.2485340373864018,11
16,38,33,cluster_33,35,cluster_35,1.3266330130715298,6
17,39,0,AT,38,cluster_38,1.4061218053336264,7
18,40,36,cluster_36,39,cluster_39,1.4750259559384118,9
19,41,10,HU,40,cluster_40,1.4962931449820347,10
20,42,12,IL,41,cluster_41,1.5495547778331564,11
21,43,15,LT,42,cluster_42,1.7859551581956319,12
22,44,37,cluster_37,43,cluster_43,2.1383969329915717,23
