country_code,weights_name,first_column,column_average,average_color_hex
CH,CH,left_right_identification,0.058607886989560064,#ecf2f5
NL,NL,left_right_identification,0.056179909729468694,#ecf2f5
NO,NO,left_right_identification,0.052952377476782386,#edf2f5
FR,FR,left_right_identification,0.052814933117932,#edf2f5
IS,IS,left_right_identification,0.05118280033920084,#edf2f5
GB,GB,left_right_identification,0.05062390598578656,#edf2f5
ES,ES,left_right_identification,0.04746625232414684,#edf2f5
SE,SE,left_right_identification,0.04685060372268798,#eff3f5
BE,BE,left_right_identification,0.04580689622504462,#eff3f5
DE,DE,left_right_identification,0.044342892066570036,#eff3f5
FI,FI,left_right_identification,0.04122347469563794,#eff3f5
AT,AT,left_right_identification,0.03996502288527119,#eff3f5
IE,IE,left_right_identification,0.03154960795826415,#f0f4f6
IT,IT,left_right_identification,0.03119375775641911,#f2f5f6
HU,HU,left_right_identification,0.0231669606669241,#f3f5f6
SI,SI,left_right_identification,0.022474308911173906,#f3f5f6
IL,IL,left_right_identification,0.022349619222229687,#f3f5f6
PT,PT,left_right_identification,0.020779571635653738,#f3f5f6
PL,PL,left_right_identification,0.012875102678250492,#f5f6f7
LT,LT,left_right_identification,0.007027371896051854,#f6f7f7
CZ,CZ,left_right_identification,0.006798921188444795,#f6f7f7
EE,EE,left_right_identification,0.006794105959098234,#f6f7f7
RU,RU,left_right_identification,0.0008621407519551654,#f6f7f7
