country_code,weights_name,zero_threshold,near_zero_count,total_edges,near_zero_fraction
DE,DE,0.05,127,190,0.6684210526315789
NL,NL,0.05,125,190,0.6578947368421053
FR,FR,0.05,124,190,0.6526315789473685
AT,AT,0.05,121,190,0.6368421052631579
EE,EE,0.05,120,190,0.631578947368421
ES,ES,0.05,117,190,0.6157894736842106
BE,BE,0.05,117,190,0.6157894736842106
PT,PT,0.05,117,190,0.6157894736842106
IS,IS,0.05,117,190,0.6157894736842106
GB,GB,0.05,116,190,0.6105263157894737
CH,CH,0.05,115,190,0.6052631578947368
CZ,CZ,0.05,115,190,0.6052631578947368
PL,PL,0.05,115,190,0.6052631578947368
FI,FI,0.05,114,190,0.6
IL,IL,0.05,112,190,0.5894736842105263
LT,LT,0.05,111,190,0.5842105263157895
RU,RU,0.05,110,190,0.5789473684210527
SI,SI,0.05,109,190,0.5736842105263158
IT,IT,0.05,108,190,0.5684210526315789
SE,SE,0.05,108,190,0.5684210526315789
IE,IE,0.05,107,190,0.5631578947368421
NO,NO,0.05,104,190,0.5473684210526316
HU,HU,0.05,94,190,0.49473684210526314
