country,sample,file_name,total_triangles,ratio_three_negative,ratio_two_positive_one_negative,overall_mean_absolute_weight,three_negative_mean_absolute_weight,two_positive_one_negative_mean_absolute_weight,overall_mean_onnela_geometric_mean,three_negative_mean_onnela_geometric_mean,two_positive_one_negative_mean_onnela_geometric_mean
GB,GB_0,GB_0.graphml,194,0.077,0.278,0.085,0.074,0.079,0.076,0.062,0.071
GB,GB_1,GB_1.graphml,182,0.071,0.253,0.081,0.084,0.071,0.072,0.073,0.063
GB,GB_10,GB_10.graphml,176,0.068,0.227,0.081,0.068,0.074,0.073,0.060,0.068
GB,GB_11,GB_11.graphml,159,0.044,0.264,0.083,0.084,0.075,0.073,0.078,0.067
GB,GB_12,GB_12.graphml,134,0.075,0.209,0.088,0.079,0.082,0.080,0.073,0.075
GB,GB_13,GB_13.graphml,163,0.098,0.221,0.084,0.078,0.074,0.075,0.072,0.067
GB,GB_14,GB_14.graphml,172,0.052,0.215,0.082,0.074,0.081,0.072,0.069,0.070
GB,GB_15,GB_15.graphml,155,0.026,0.239,0.085,0.068,0.080,0.074,0.060,0.070
GB,GB_16,GB_16.graphml,285,0.109,0.302,0.079,0.070,0.074,0.073,0.065,0.068
GB,GB_17,GB_17.graphml,181,0.055,0.260,0.085,0.074,0.078,0.076,0.066,0.071
GB,GB_18,GB_18.graphml,155,0.065,0.174,0.082,0.067,0.076,0.073,0.061,0.070
GB,GB_19,GB_19.graphml,149,0.034,0.215,0.087,0.096,0.078,0.076,0.084,0.070
GB,GB_2,GB_2.graphml,153,0.059,0.222,0.086,0.092,0.072,0.076,0.086,0.064
GB,GB_20,GB_20.graphml,225,0.031,0.280,0.079,0.079,0.072,0.071,0.075,0.065
GB,GB_21,GB_21.graphml,196,0.107,0.184,0.080,0.089,0.069,0.072,0.071,0.065
GB,GB_22,GB_22.graphml,178,0.062,0.225,0.081,0.071,0.070,0.071,0.062,0.063
GB,GB_23,GB_23.graphml,192,0.021,0.281,0.081,0.069,0.073,0.071,0.064,0.065
GB,GB_24,GB_24.graphml,154,0.097,0.162,0.085,0.065,0.083,0.074,0.061,0.070
GB,GB_25,GB_25.graphml,176,0.028,0.284,0.084,0.090,0.076,0.074,0.082,0.066
GB,GB_26,GB_26.graphml,155,0.071,0.174,0.083,0.071,0.078,0.073,0.065,0.068
GB,GB_27,GB_27.graphml,139,0.014,0.295,0.086,0.102,0.076,0.078,0.099,0.069
GB,GB_28,GB_28.graphml,139,0.058,0.230,0.085,0.066,0.080,0.077,0.059,0.074
GB,GB_29,GB_29.graphml,181,0.039,0.265,0.082,0.063,0.075,0.073,0.058,0.067
GB,GB_3,GB_3.graphml,162,0.068,0.167,0.084,0.079,0.083,0.075,0.075,0.072
GB,GB_30,GB_30.graphml,127,0.079,0.220,0.088,0.091,0.079,0.079,0.080,0.072
GB,GB_31,GB_31.graphml,140,0.086,0.171,0.088,0.082,0.083,0.079,0.074,0.074
GB,GB_32,GB_32.graphml,124,0.024,0.210,0.089,0.056,0.085,0.080,0.056,0.077
GB,GB_33,GB_33.graphml,168,0.042,0.226,0.079,0.053,0.071,0.070,0.051,0.064
GB,GB_34,GB_34.graphml,156,0.051,0.212,0.082,0.094,0.071,0.072,0.075,0.064
GB,GB_35,GB_35.graphml,129,0.054,0.209,0.088,0.084,0.078,0.079,0.078,0.070
GB,GB_36,GB_36.graphml,110,0.036,0.173,0.091,0.063,0.093,0.082,0.059,0.082
