country,sample,file_name,total_triangles,ratio_three_negative,ratio_two_positive_one_negative,overall_mean_absolute_weight,three_negative_mean_absolute_weight,two_positive_one_negative_mean_absolute_weight,overall_mean_onnela_geometric_mean,three_negative_mean_onnela_geometric_mean,two_positive_one_negative_mean_onnela_geometric_mean
AT,anti_basic_income,AT_anti_basic_income_flipped.graphml,124,0.032,0.234,0.096,0.075,0.094,0.084,0.062,0.082
AT,anti_climate_ban_appliances,AT_anti_climate_ban_appliances_flipped.graphml,136,0.015,0.287,0.091,0.062,0.087,0.079,0.053,0.077
AT,anti_climate_change_renewables,AT_anti_climate_change_renewables_flipped.graphml,116,0.017,0.293,0.092,0.099,0.087,0.082,0.086,0.079
AT,anti_climate_change_taxes,AT_anti_climate_change_taxes_flipped.graphml,135,0.030,0.222,0.090,0.090,0.079,0.078,0.081,0.071
AT,anti_economic_interventionism,AT_anti_economic_interventionism_flipped.graphml,103,0.039,0.194,0.099,0.099,0.101,0.085,0.085,0.089
AT,anti_egalitarianism,AT_anti_egalitarianism_flipped.graphml,110,0.055,0.182,0.097,0.094,0.092,0.086,0.085,0.084
AT,anti_immigration,AT_anti_immigration_flipped.graphml,132,0.053,0.250,0.090,0.064,0.085,0.080,0.058,0.076
AT,anti_lgbt,AT_anti_lgbt_flipped.graphml,149,0.047,0.242,0.090,0.079,0.082,0.078,0.070,0.071
AT,anti_libertarianism,AT_anti_libertarianism_flipped.graphml,112,0.009,0.214,0.098,0.061,0.096,0.086,0.055,0.085
AT,anti_social_benefits_low_income,AT_anti_social_benefits_low_income_flipped.graphml,114,0.000,0.263,0.096,,0.090,0.085,,0.082
AT,anti_social_benefits_parents,AT_anti_social_benefits_parents_flipped.graphml,131,0.046,0.237,0.094,0.088,0.090,0.083,0.075,0.078
AT,authoritarianism,AT_authoritarianism_flipped.graphml,106,0.009,0.217,0.100,0.065,0.098,0.088,0.053,0.088
AT,benefits_harm_economy,AT_benefits_harm_economy_flipped.graphml,138,0.036,0.326,0.090,0.083,0.083,0.080,0.073,0.075
AT,benefits_harm_society,AT_benefits_harm_society_flipped.graphml,136,0.022,0.250,0.093,0.067,0.090,0.081,0.051,0.081
AT,climate_skepticism,AT_climate_skepticism_flipped.graphml,106,0.009,0.255,0.097,0.099,0.094,0.085,0.077,0.085
AT,educational_spending,AT_educational_spending_flipped.graphml,189,0.011,0.323,0.089,0.066,0.083,0.079,0.064,0.076
AT,euroscepticism,AT_euroscepticism_flipped.graphml,133,0.015,0.248,0.090,0.071,0.083,0.080,0.062,0.075
AT,gender_inequality,AT_gender_inequality_flipped.graphml,110,0.009,0.236,0.097,0.084,0.097,0.086,0.071,0.087
AT,left_right_identification,AT_left_right_identification_flipped.graphml,125,0.080,0.200,0.091,0.067,0.094,0.080,0.060,0.085
AT,welfare_chauvinism,AT_welfare_chauvinism_flipped.graphml,134,0.037,0.254,0.090,0.061,0.087,0.080,0.056,0.078
BE,anti_basic_income,BE_anti_basic_income_flipped.graphml,197,0.036,0.284,0.077,0.074,0.068,0.069,0.072,0.062
BE,anti_climate_ban_appliances,BE_anti_climate_ban_appliances_flipped.graphml,176,0.011,0.233,0.079,0.072,0.076,0.071,0.062,0.069
BE,anti_climate_change_renewables,BE_anti_climate_change_renewables_flipped.graphml,178,0.028,0.331,0.076,0.052,0.074,0.069,0.040,0.064
BE,anti_climate_change_taxes,BE_anti_climate_change_taxes_flipped.graphml,153,0.039,0.333,0.080,0.085,0.073,0.074,0.074,0.067
BE,anti_economic_interventionism,BE_anti_economic_interventionism_flipped.graphml,153,0.052,0.288,0.082,0.070,0.074,0.076,0.063,0.068
BE,anti_egalitarianism,BE_anti_egalitarianism_flipped.graphml,157,0.032,0.331,0.081,0.083,0.074,0.074,0.072,0.067
BE,anti_immigration,BE_anti_immigration_flipped.graphml,188,0.021,0.340,0.075,0.083,0.069,0.068,0.071,0.061
BE,anti_lgbt,BE_anti_lgbt_flipped.graphml,170,0.012,0.282,0.078,0.102,0.072,0.070,0.075,0.065
BE,anti_libertarianism,BE_anti_libertarianism_flipped.graphml,150,0.007,0.333,0.082,0.055,0.077,0.075,0.049,0.070
BE,anti_social_benefits_low_income,BE_anti_social_benefits_low_income_flipped.graphml,140,0.000,0.286,0.085,,0.077,0.078,,0.071
BE,anti_social_benefits_parents,BE_anti_social_benefits_parents_flipped.graphml,135,0.007,0.281,0.083,0.078,0.076,0.076,0.074,0.069
BE,authoritarianism,BE_authoritarianism_flipped.graphml,192,0.005,0.286,0.075,0.082,0.067,0.068,0.065,0.061
BE,benefits_harm_economy,BE_benefits_harm_economy_flipped.graphml,264,0.049,0.337,0.075,0.069,0.069,0.068,0.062,0.064
BE,benefits_harm_society,BE_benefits_harm_society_flipped.graphml,177,0.011,0.339,0.079,0.083,0.074,0.073,0.071,0.069
BE,climate_skepticism,BE_climate_skepticism_flipped.graphml,234,0.056,0.333,0.078,0.066,0.074,0.072,0.061,0.069
BE,educational_spending,BE_educational_spending_flipped.graphml,237,0.017,0.392,0.074,0.059,0.067,0.067,0.057,0.060
