country,sample,file_name,total_triangles,three_negative_edges,ratio_three_negative,two_positive_one_negative,ratio_two_positive_one_negative,imbalanced_triangles,ratio_imbalanced,three_negative_absolute_weight_sum,two_positive_one_negative_absolute_weight_sum,imbalanced_absolute_weight_sum,three_negative_onnela_intensity_sum,two_positive_one_negative_onnela_intensity_sum,imbalanced_onnela_intensity_sum
GB,GB_0,GB_0.graphml,194,15,0.077,54,0.278,69,0.356,3.347,12.719,16.066,0.937,3.845,4.783
GB,GB_1,GB_1.graphml,182,13,0.071,46,0.253,59,0.324,3.264,9.775,13.039,0.944,2.881,3.825
GB,GB_10,GB_10.graphml,176,12,0.068,40,0.227,52,0.295,2.461,8.831,11.292,0.719,2.702,3.421
GB,GB_11,GB_11.graphml,159,7,0.044,42,0.264,49,0.308,1.762,9.402,11.165,0.544,2.796,3.340
GB,GB_12,GB_12.graphml,134,10,0.075,28,0.209,38,0.284,2.365,6.888,9.253,0.725,2.089,2.814
GB,GB_13,GB_13.graphml,163,16,0.098,36,0.221,52,0.319,3.759,8.007,11.766,1.153,2.424,3.578
GB,GB_14,GB_14.graphml,172,9,0.052,37,0.215,46,0.267,2.000,8.984,10.985,0.618,2.587,3.205
GB,GB_15,GB_15.graphml,155,4,0.026,37,0.239,41,0.265,0.812,8.880,9.692,0.240,2.605,2.845
GB,GB_16,GB_16.graphml,285,31,0.109,86,0.302,117,0.411,6.511,19.006,25.517,2.017,5.808,7.825
GB,GB_17,GB_17.graphml,181,10,0.055,47,0.260,57,0.315,2.229,11.033,13.262,0.665,3.316,3.981
GB,GB_18,GB_18.graphml,155,10,0.065,27,0.174,37,0.239,2.000,6.136,8.135,0.613,1.894,2.508
GB,GB_19,GB_19.graphml,149,5,0.034,32,0.215,37,0.248,1.438,7.472,8.910,0.421,2.242,2.663
GB,GB_2,GB_2.graphml,153,9,0.059,34,0.222,43,0.281,2.475,7.394,9.869,0.771,2.170,2.940
GB,GB_20,GB_20.graphml,225,7,0.031,63,0.280,70,0.311,1.664,13.676,15.339,0.524,4.065,4.589
GB,GB_21,GB_21.graphml,196,21,0.107,36,0.184,57,0.291,5.595,7.472,13.068,1.498,2.331,3.828
GB,GB_22,GB_22.graphml,178,11,0.062,40,0.225,51,0.287,2.353,8.451,10.804,0.680,2.512,3.192
GB,GB_23,GB_23.graphml,192,4,0.021,54,0.281,58,0.302,0.827,11.832,12.659,0.257,3.491,3.748
GB,GB_24,GB_24.graphml,154,15,0.097,25,0.162,40,0.260,2.921,6.240,9.161,0.908,1.762,2.670
GB,GB_25,GB_25.graphml,176,5,0.028,50,0.284,55,0.312,1.347,11.388,12.735,0.412,3.319,3.731
GB,GB_26,GB_26.graphml,155,11,0.071,27,0.174,38,0.245,2.352,6.346,8.698,0.715,1.840,2.555
GB,GB_27,GB_27.graphml,139,2,0.014,41,0.295,43,0.309,0.613,9.379,9.992,0.199,2.825,3.024
GB,GB_28,GB_28.graphml,139,8,0.058,32,0.230,40,0.288,1.593,7.721,9.314,0.475,2.373,2.848
GB,GB_29,GB_29.graphml,181,7,0.039,48,0.265,55,0.304,1.317,10.762,12.079,0.406,3.238,3.644
GB,GB_3,GB_3.graphml,162,11,0.068,27,0.167,38,0.235,2.623,6.692,9.315,0.822,1.952,2.775
GB,GB_30,GB_30.graphml,127,10,0.079,28,0.220,38,0.299,2.730,6.596,9.327,0.796,2.009,2.805
GB,GB_31,GB_31.graphml,140,12,0.086,24,0.171,36,0.257,2.940,5.972,8.912,0.892,1.784,2.676
GB,GB_32,GB_32.graphml,124,3,0.024,26,0.210,29,0.234,0.507,6.647,7.154,0.167,1.991,2.158
GB,GB_33,GB_33.graphml,168,7,0.042,38,0.226,45,0.268,1.105,8.144,9.249,0.357,2.434,2.791
GB,GB_34,GB_34.graphml,156,8,0.051,33,0.212,41,0.263,2.259,6.987,9.246,0.599,2.128,2.727
GB,GB_35,GB_35.graphml,129,7,0.054,27,0.209,34,0.264,1.765,6.349,8.114,0.546,1.894,2.440
GB,GB_36,GB_36.graphml,110,4,0.036,19,0.173,23,0.209,0.755,5.312,6.067,0.235,1.553,1.789
GB,GB_37,GB_37.graphml,180,6,0.033,41,0.228,47,0.261,1.347,9.397,10.744,0.434,2.790,3.224
GB,GB_38,GB_38.graphml,176,13,0.074,46,0.261,59,0.335,2.786,10.382,13.167,0.842,3.111,3.954
GB,GB_39,GB_39.graphml,146,8,0.055,33,0.226,41,0.281,1.688,7.548,9.236,0.529,2.180,2.709
GB,GB_4,GB_4.graphml,140,16,0.114,24,0.171,40,0.286,3.473,5.239,8.712,1.113,1.638,2.751
GB,GB_40,GB_40.graphml,118,6,0.051,23,0.195,29,0.246,1.131,6.019,7.150,0.361,1.769,2.130
GB,GB_41,GB_41.graphml,181,9,0.050,52,0.287,61,0.337,1.583,11.516,13.098,0.486,3.376,3.862
GB,GB_42,GB_42.graphml,139,4,0.029,26,0.187,30,0.216,0.890,6.252,7.143,0.289,1.897,2.186
GB,GB_43,GB_43.graphml,150,13,0.087,27,0.180,40,0.267,3.041,6.141,9.182,0.937,1.856,2.792
GB,GB_44,GB_44.graphml,165,3,0.018,40,0.242,43,0.261,0.502,9.087,9.589,0.159,2.656,2.815
GB,GB_45,GB_45.graphml,162,7,0.043,39,0.241,46,0.284,1.792,8.449,10.241,0.577,2.516,3.093
GB,GB_46,GB_46.graphml,157,4,0.025,39,0.248,43,0.274,1.143,8.924,10.067,0.357,2.735,3.092
GB,GB_47,GB_47.graphml,147,1,0.007,33,0.224,34,0.231,0.356,7.788,8.143,0.085,2.360,2.444
GB,GB_48,GB_48.graphml,208,21,0.101,43,0.207,64,0.308,4.861,10.005,14.866,1.455,2.998,4.453
GB,GB_49,GB_49.graphml,141,8,0.057,24,0.170,32,0.227,1.973,5.849,7.821,0.589,1.752,2.341
GB,GB_5,GB_5.graphml,188,13,0.069,52,0.277,65,0.346,2.828,11.071,13.899,0.845,3.371,4.216
GB,GB_50,GB_50.graphml,205,10,0.049,55,0.268,65,0.317,2.135,11.817,13.952,0.570,3.498,4.068
GB,GB_51,GB_51.graphml,175,16,0.091,41,0.234,57,0.326,3.984,9.848,13.833,1.108,3.054,4.162
GB,GB_52,GB_52.graphml,169,12,0.071,40,0.237,52,0.308,3.234,7.748,10.982,0.939,2.289,3.228
GB,GB_53,GB_53.graphml,193,7,0.036,45,0.233,52,0.269,1.819,10.162,11.981,0.514,3.002,3.516
GB,GB_54,GB_54.graphml,136,5,0.037,36,0.265,41,0.301,0.829,8.527,9.355,0.234,2.537,2.771
GB,GB_55,GB_55.graphml,148,8,0.054,36,0.243,44,0.297,1.771,8.405,10.176,0.552,2.417,2.969
GB,GB_56,GB_56.graphml,149,5,0.034,33,0.221,38,0.255,1.119,7.496,8.614,0.348,2.174,2.522
GB,GB_57,GB_57.graphml,166,17,0.102,27,0.163,44,0.265,4.306,6.350,10.656,1.167,1.883,3.050
GB,GB_58,GB_58.graphml,153,16,0.105,22,0.144,38,0.248,3.774,4.811,8.585,1.128,1.415,2.544
GB,GB_59,GB_59.graphml,173,9,0.052,40,0.231,49,0.283,2.228,8.705,10.933,0.694,2.610,3.305
GB,GB_6,GB_6.graphml,194,10,0.052,45,0.232,55,0.284,2.176,10.336,12.512,0.642,3.108,3.750
GB,GB_60,GB_60.graphml,183,7,0.038,43,0.235,50,0.273,1.395,9.722,11.117,0.430,2.829,3.259
GB,GB_61,GB_61.graphml,200,23,0.115,44,0.220,67,0.335,5.102,9.375,14.477,1.525,2.754,4.279
GB,GB_62,GB_62.graphml,124,2,0.016,31,0.250,33,0.266,0.507,7.861,8.368,0.161,2.422,2.583
GB,GB_63,GB_63.graphml,179,16,0.089,36,0.201,52,0.291,3.319,8.268,11.588,1.035,2.453,3.489
GB,GB_64,GB_64.graphml,165,8,0.048,38,0.230,46,0.279,1.650,8.951,10.602,0.510,2.608,3.119
GB,GB_65,GB_65.graphml,214,13,0.061,58,0.271,71,0.332,2.851,11.996,14.847,0.848,3.610,4.457
GB,GB_66,GB_66.graphml,132,6,0.045,20,0.152,26,0.197,1.508,5.267,6.775,0.406,1.617,2.024
GB,GB_67,GB_67.graphml,192,13,0.068,30,0.156,43,0.224,2.979,6.496,9.475,0.941,1.906,2.847
GB,GB_68,GB_68.graphml,183,4,0.022,52,0.284,56,0.306,1.306,11.687,12.993,0.404,3.491,3.896
GB,GB_69,GB_69.graphml,116,6,0.052,21,0.181,27,0.233,1.691,5.835,7.525,0.513,1.794,2.307
GB,GB_7,GB_7.graphml,133,9,0.068,30,0.226,39,0.293,2.301,6.773,9.074,0.624,2.003,2.628
GB,GB_70,GB_70.graphml,140,0,0.000,38,0.271,38,0.271,0.000,8.619,8.619,0.000,2.646,2.646
GB,GB_71,GB_71.graphml,206,9,0.044,55,0.267,64,0.311,1.725,11.408,13.133,0.543,3.389,3.932
GB,GB_72,GB_72.graphml,164,10,0.061,35,0.213,45,0.274,2.457,7.814,10.271,0.700,2.399,3.099
GB,GB_73,GB_73.graphml,156,8,0.051,38,0.244,46,0.295,1.693,8.752,10.446,0.534,2.634,3.168
GB,GB_74,GB_74.graphml,189,9,0.048,46,0.243,55,0.291,2.117,9.874,11.991,0.604,2.954,3.558
GB,GB_75,GB_75.graphml,113,2,0.018,23,0.204,25,0.221,0.493,5.230,5.722,0.150,1.506,1.656
GB,GB_76,GB_76.graphml,142,3,0.021,35,0.246,38,0.268,0.655,8.686,9.341,0.186,2.659,2.846
GB,GB_77,GB_77.graphml,153,10,0.065,31,0.203,41,0.268,2.461,7.559,10.020,0.772,2.198,2.970
GB,GB_78,GB_78.graphml,131,13,0.099,21,0.160,34,0.260,2.866,4.769,7.636,0.895,1.487,2.382
GB,GB_79,GB_79.graphml,155,14,0.090,32,0.206,46,0.297,3.000,7.249,10.249,0.925,2.140,3.065
GB,GB_8,GB_8.graphml,175,17,0.097,35,0.200,52,0.297,3.340,7.513,10.853,0.954,2.266,3.220
GB,GB_80,GB_80.graphml,145,3,0.021,38,0.262,41,0.283,0.661,8.538,9.199,0.196,2.559,2.755
GB,GB_81,GB_81.graphml,145,6,0.041,30,0.207,36,0.248,1.144,7.728,8.872,0.353,2.313,2.666
GB,GB_82,GB_82.graphml,156,6,0.038,34,0.218,40,0.256,1.589,7.506,9.095,0.458,2.320,2.778
GB,GB_83,GB_83.graphml,207,8,0.039,50,0.242,58,0.280,1.987,10.314,12.301,0.577,3.078,3.655
GB,GB_84,GB_84.graphml,138,24,0.174,19,0.138,43,0.312,5.376,5.031,10.407,1.624,1.496,3.120
