country,sample,file_name,total_triangles,three_negative_edges,ratio_three_negative,two_positive_one_negative,ratio_two_positive_one_negative,imbalanced_triangles,ratio_imbalanced,three_negative_absolute_weight_sum,two_positive_one_negative_absolute_weight_sum,imbalanced_absolute_weight_sum,three_negative_onnela_intensity_sum,two_positive_one_negative_onnela_intensity_sum,imbalanced_onnela_intensity_sum
AT,anti_basic_income,AT_anti_basic_income_flipped.graphml,124,4,0.032,29,0.234,33,0.266,0.900,8.152,9.052,0.248,2.390,2.638
AT,anti_climate_ban_appliances,AT_anti_climate_ban_appliances_flipped.graphml,136,2,0.015,39,0.287,41,0.301,0.369,10.170,10.540,0.105,3.001,3.106
AT,anti_climate_change_renewables,AT_anti_climate_change_renewables_flipped.graphml,116,2,0.017,34,0.293,36,0.310,0.596,8.884,9.480,0.172,2.672,2.845
AT,anti_climate_change_taxes,AT_anti_climate_change_taxes_flipped.graphml,135,4,0.030,30,0.222,34,0.252,1.086,7.080,8.165,0.323,2.128,2.451
AT,anti_economic_interventionism,AT_anti_economic_interventionism_flipped.graphml,103,4,0.039,20,0.194,24,0.233,1.185,6.080,7.265,0.341,1.787,2.128
AT,anti_egalitarianism,AT_anti_egalitarianism_flipped.graphml,110,6,0.055,20,0.182,26,0.236,1.690,5.542,7.232,0.512,1.679,2.192
AT,anti_immigration,AT_anti_immigration_flipped.graphml,132,7,0.053,33,0.250,40,0.303,1.348,8.400,9.748,0.404,2.521,2.925
AT,anti_lgbt,AT_anti_lgbt_flipped.graphml,149,7,0.047,36,0.242,43,0.289,1.659,8.813,10.472,0.493,2.546,3.039
AT,anti_libertarianism,AT_anti_libertarianism_flipped.graphml,112,1,0.009,24,0.214,25,0.223,0.183,6.902,7.086,0.055,2.029,2.084
AT,anti_social_benefits_low_income,AT_anti_social_benefits_low_income_flipped.graphml,114,0,0.000,30,0.263,30,0.263,0.000,8.118,8.118,0.000,2.449,2.449
AT,anti_social_benefits_parents,AT_anti_social_benefits_parents_flipped.graphml,131,6,0.046,31,0.237,37,0.282,1.576,8.357,9.933,0.453,2.426,2.878
AT,authoritarianism,AT_authoritarianism_flipped.graphml,106,1,0.009,23,0.217,24,0.226,0.195,6.759,6.954,0.053,2.014,2.068
AT,benefits_harm_economy,AT_benefits_harm_economy_flipped.graphml,138,5,0.036,45,0.326,50,0.362,1.252,11.143,12.394,0.365,3.374,3.739
AT,benefits_harm_society,AT_benefits_harm_society_flipped.graphml,136,3,0.022,34,0.250,37,0.272,0.599,9.193,9.792,0.153,2.759,2.912
AT,climate_skepticism,AT_climate_skepticism_flipped.graphml,106,1,0.009,27,0.255,28,0.264,0.297,7.578,7.875,0.077,2.299,2.377
AT,educational_spending,AT_educational_spending_flipped.graphml,189,2,0.011,61,0.323,63,0.333,0.398,15.144,15.542,0.129,4.608,4.736
AT,euroscepticism,AT_euroscepticism_flipped.graphml,133,2,0.015,33,0.248,35,0.263,0.429,8.245,8.674,0.125,2.483,2.607
AT,gender_inequality,AT_gender_inequality_flipped.graphml,110,1,0.009,26,0.236,27,0.245,0.253,7.542,7.795,0.071,2.255,2.326
