country,ratio_three_negative_mean,ratio_three_negative_std,ratio_two_positive_one_negative_mean,ratio_two_positive_one_negative_std,ratio_imbalanced_mean,ratio_imbalanced_std,three_negative_absolute_weight_sum_mean,three_negative_absolute_weight_sum_std,two_positive_one_negative_absolute_weight_sum_mean,two_positive_one_negative_absolute_weight_sum_std,imbalanced_absolute_weight_sum_mean,imbalanced_absolute_weight_sum_std,three_negative_onnela_intensity_sum_mean,three_negative_onnela_intensity_sum_std,two_positive_one_negative_onnela_intensity_sum_mean,two_positive_one_negative_onnela_intensity_sum_std,imbalanced_onnela_intensity_sum_mean,imbalanced_onnela_intensity_sum_std
AT,0.029,0.021,0.246,0.039,0.275,0.036,0.848,0.600,8.401,2.064,9.249,2.036,0.248,0.179,2.509,0.633,2.757,0.624
BE,0.023,0.017,0.312,0.035,0.335,0.042,0.944,0.764,12.174,2.952,13.118,3.435,0.282,0.235,3.700,0.901,3.982,1.054
CH,0.031,0.017,0.272,0.056,0.304,0.062,1.225,0.797,10.494,5.065,11.720,5.582,0.367,0.241,3.175,1.567,3.542,1.733
CZ,0.057,0.014,0.401,0.027,0.458,0.023,3.521,0.924,21.791,3.621,25.312,3.870,1.040,0.271,6.502,1.056,7.541,1.109
DE,0.024,0.017,0.278,0.021,0.301,0.022,1.000,0.763,12.744,1.924,13.744,2.187,0.313,0.237,3.854,0.547,4.167,0.627
EE,0.042,0.023,0.276,0.047,0.318,0.047,1.471,1.091,8.900,3.841,10.371,4.608,0.456,0.333,2.703,1.196,3.159,1.431
ES,0.016,0.012,0.298,0.071,0.314,0.071,0.524,0.493,10.078,6.034,10.602,6.340,0.164,0.157,3.101,1.915,3.266,2.015
FI,0.018,0.016,0.266,0.027,0.283,0.030,0.647,0.654,9.869,2.135,10.516,2.373,0.196,0.190,3.026,0.647,3.222,0.710
FR,0.018,0.012,0.269,0.027,0.287,0.029,0.609,0.428,9.435,1.793,10.044,2.053,0.191,0.133,2.870,0.526,3.061,0.604
GB,0.018,0.013,0.256,0.046,0.274,0.044,0.689,0.495,10.491,3.456,11.180,3.391,0.210,0.142,3.125,1.025,3.335,1.002
HU,0.116,0.046,0.329,0.048,0.445,0.029,5.715,2.684,14.672,3.447,20.388,4.611,1.620,0.751,4.472,1.002,6.093,1.335
IE,0.043,0.022,0.389,0.023,0.432,0.021,1.919,1.189,18.306,3.447,20.225,4.022,0.563,0.342,5.493,1.069,6.056,1.239
IL,0.037,0.017,0.343,0.027,0.380,0.023,1.677,0.718,14.722,2.504,16.399,2.395,0.456,0.189,4.399,0.778,4.855,0.755
IS,0.024,0.024,0.263,0.057,0.287,0.068,0.805,0.881,8.136,4.663,8.941,5.346,0.243,0.270,2.483,1.393,2.726,1.601
IT,0.039,0.022,0.331,0.040,0.370,0.035,1.792,0.956,12.489,4.985,14.281,5.425,0.508,0.289,3.832,1.528,4.340,1.669
LT,0.077,0.032,0.381,0.038,0.458,0.026,2.478,1.283,11.426,2.352,13.904,2.641,0.704,0.355,3.458,0.676,4.162,0.756
NL,0.022,0.022,0.270,0.049,0.292,0.059,0.739,0.902,8.503,4.692,9.241,5.378,0.226,0.274,2.527,1.453,2.753,1.664
NO,0.028,0.020,0.267,0.043,0.296,0.052,1.284,1.292,10.785,5.013,12.069,6.036,0.413,0.414,3.357,1.562,3.770,1.891
PL,0.072,0.040,0.342,0.034,0.414,0.051,2.593,2.194,12.907,4.170,15.500,6.079,0.799,0.663,3.971,1.268,4.770,1.836
PT,0.030,0.023,0.375,0.054,0.405,0.062,1.224,1.360,12.482,6.912,13.706,8.008,0.364,0.417,3.838,2.156,4.202,2.493
RU,0.073,0.027,0.391,0.033,0.464,0.019,3.533,1.719,16.056,2.231,19.588,2.857,1.021,0.464,4.875,0.670,5.896,0.822
SE,0.028,0.017,0.326,0.032,0.354,0.039,1.222,1.050,13.476,4.468,14.698,5.174,0.379,0.321,4.133,1.371,4.512,1.584
SI,0.068,0.031,0.355,0.049,0.423,0.049,2.634,1.634,12.848,5.370,15.482,6.477,0.839,0.522,4.015,1.682,4.854,2.036
