graph_name,file_name,number_of_nodes,number_of_edges,total_triangles,overall_mean_absolute_weight,overall_mean_onnela_geometric_mean,three_negative_edges,ratio_three_negative,three_negative_mean_absolute_weight,three_negative_mean_onnela_geometric_mean,two_positive_one_negative,ratio_two_positive_one_negative,two_positive_one_negative_mean_absolute_weight,two_positive_one_negative_mean_onnela_geometric_mean
AT,AT.graphml,20,100,182,0.095,0.085,3,0.016,0.097,0.082,62,0.341,0.093,0.084
BE,BE.graphml,20,110,208,0.076,0.069,4,0.019,0.064,0.058,69,0.332,0.070,0.064
CH,CH.graphml,20,92,146,0.085,0.078,4,0.027,0.067,0.062,39,0.267,0.076,0.069
CZ,CZ.graphml,20,112,244,0.081,0.071,10,0.041,0.087,0.077,103,0.422,0.077,0.068
DE,DE.graphml,20,114,255,0.076,0.068,4,0.016,0.056,0.055,74,0.290,0.068,0.062
EE,EE.graphml,20,89,131,0.081,0.073,3,0.023,0.097,0.094,34,0.260,0.070,0.064
ES,ES.graphml,20,89,105,0.086,0.079,0,0.000,,,27,0.257,0.077,0.071
FI,FI.graphml,20,100,170,0.080,0.073,1,0.006,0.064,0.064,47,0.276,0.075,0.069
FR,FR.graphml,20,98,159,0.082,0.074,1,0.006,0.055,0.052,38,0.239,0.076,0.069
GB,GB.graphml,20,92,131,0.087,0.079,1,0.008,0.080,0.079,30,0.229,0.078,0.071
HU,HU.graphml,20,97,157,0.090,0.083,15,0.096,0.089,0.078,51,0.325,0.089,0.082
IE,IE.graphml,20,113,226,0.075,0.067,5,0.022,0.068,0.057,91,0.403,0.072,0.064
IL,IL.graphml,20,98,151,0.084,0.076,3,0.020,0.078,0.059,48,0.318,0.084,0.075
IS,IS.graphml,20,94,144,0.089,0.083,1,0.007,0.084,0.083,43,0.299,0.083,0.077
IT,IT.graphml,20,108,217,0.077,0.067,7,0.032,0.072,0.061,79,0.364,0.068,0.061
LT,LT.graphml,20,80,99,0.103,0.093,4,0.040,0.143,0.117,37,0.374,0.100,0.092
NL,NL.graphml,20,90,118,0.090,0.079,2,0.017,0.059,0.051,29,0.246,0.081,0.068
NO,NO.graphml,20,99,176,0.077,0.071,3,0.017,0.063,0.061,57,0.324,0.068,0.064
PL,PL.graphml,20,90,120,0.086,0.080,4,0.033,0.073,0.070,37,0.308,0.084,0.076
PT,PT.graphml,20,89,110,0.079,0.073,2,0.018,0.080,0.061,37,0.336,0.070,0.065
RU,RU.graphml,20,97,172,0.086,0.079,14,0.081,0.100,0.085,73,0.424,0.080,0.074
SE,SE.graphml,20,97,150,0.084,0.076,1,0.007,0.082,0.075,49,0.327,0.074,0.068
SI,SI.graphml,20,92,133,0.080,0.073,6,0.045,0.079,0.074,53,0.398,0.072,0.067
